Sentence,Word,POS,Tag
,ye,IN,O
,.,IN,O
,
Sentence: 9,Jin,IN,O
,mein,IN,O
,sab,IN,O
,se,IN,O
,ziyada,IN,O
,kamiyab,IN,O
,The,IN,O
,Nutty,IN,O
,Professor,IN,O
,aur,IN,O
,Whos,IN,O
,Minding,IN,O
,the,IN,O
,Store,IN,O
,ko,IN,O
,hasil,IN,O
,hui,IN,O
,
Sentence: 10,mujhy,IN,O
,shook,IN,O
,hy,IN,O
,k,IN,O
,m,IN,O
,koi,IN,O
,aik,IN,O
,wazifa,IN,O
,aisaa,IN,O
,hoo,IN,O
,jo,IN,O
,hr,IN,O
,waqat,IN,O
,parhta,IN,O
,rahooo,IN,O
,.,IN,O
,
Sentence: 11,good,IN,O
,brother,IN,O
,jo,IN,O
,howa,IN,O
,use,IN,O
,bhool,IN,O
,jao,IN,O
,hamsha,IN,O
,achi,IN,O
,baato,IN,O
,ko,IN,O
,yaad,IN,O
,rahko,IN,O
,
Sentence: 12,mulk,IN,O
,k,IN,O
,lie,IN,O
,jo,IN,O
,2,IN,O
,parties,IN,O
,ik,IN,O
,naa,IN,O
,ho,IN,O
,saki,IN,O
,woh,IN,O
,haarne,IN,O
,pe,IN,O
,1,IN,O
,hogaee,IN,O
,d,IN,O
,ppp,IN,B-org
,pml,IN,B-org
,n,IN,I-org
,phirr,IN,O
,kehte,IN,O
,heyn,IN,O
,ghadaa,IN,O
,kyu,IN,O
,bola,IN,O
,imrankhanpti,IN,O
,ney,IN,O
,d,IN,O
,
Sentence: 13,doosri,IN,O
,shart,IN,O
,yeh,IN,O
,bhi,IN,O
,thi,IN,O
,ke,IN,O
,dukanat,IN,O
,ke,IN,O
,zareya,IN,O
,sarfeen,IN,O
,ko,IN,O
,unke,IN,O
,dobarah,IN,O
,istemaal,IN,O
,ki,IN,O
,hosla,IN,O
,afzai,IN,O
,ke,IN,O
,liye,IN,O
,koi,IN,O
,carry,IN,O
,bag,IN,O
,muft,IN,O
,faraham,IN,O
,nahi,IN,O
,kiya,IN,O
,jayega,IN,O
,taakay,IN,O
,plastic,IN,O
,ke,IN,O
,kachray,IN,O
,ki,IN,O
,paedawar,IN,O
,ko,IN,O
,kam,IN,O
,se,IN,O
,kam,IN,O
,kiya,IN,O
,jasakay,IN,O
,.,IN,O
,
Sentence: 14,Filmi,IN,O
,Shakshiyatein,IN,O
,Aur,IN,O
,Gautam,IN,B-per
,Gambhir,IN,I-per
,Modi,IN,B-per
,Ko,IN,O
,Mutasir,IN,O
,Karne,IN,O
,Mein,IN,O
,Nakaam,IN,O
,
Sentence: 15,Itni,IN,O
,muhabbat,IN,O
,na,IN,O
,kr,IN,O
,mere,IN,O
,yr,IN,O
,
Sentence: 16,geonews,IN,B-org
,urdu,IN,O
,hahahaha,IN,O
,madam,IN,O
,ab,IN,O
,pti,IN,B-org
,ko,IN,O
,sabit,IN,O
,karna,IN,O
,hai,IN,O
,k,IN,O
,woh,IN,O
,pmln,IN,B-org
,nahi,IN,O
,hai,IN,O
,aap,IN,O
,logun,IN,O
,k,IN,O
,bare,IN,O
,may,IN,O
,tou,IN,O
,sab,IN,O
,ko,IN,O
,pata,IN,O
,hai,IN,O
,k,IN,O
,aap,IN,O
,kia,IN,O
,hain,IN,O
,
Sentence: 17,zayd280,IN,O
,pmln,IN,B-org
,aur,IN,O
,nawaz,IN,B-per
,sharif,IN,I-per
,aur,IN,O
,shabaz,IN,B-per
,sharif,IN,I-per
,ko,IN,O
,gareebon,IN,O
,ki,IN,O
,baddua,IN,O
,lagi,IN,O
,hain,IN,O
,agay,IN,O
,agay,IN,O
,dekhay,IN,O
,hota,IN,O
,hain,IN,O
,kya,IN,O
,inka,IN,O
,unjam,IN,O
,bohat,IN,O
,bora,IN,O
,hoga,IN,O
,
Sentence: 18,bta,IN,O
,imran,IN,B-per
,too,IN,O
,ne,IN,O
,mumtaaz,IN,B-per
,hussain,IN,I-per
,qaderi,IN,I-per
,ki,IN,O
,mukhalfit,IN,O
,kion,IN,O
,kiye,IN,O
,allaha,IN,O
,ka,IN,O
,azzab,IN,O
,hay,IN,O
,hum,IN,O
,gunahgaroon,IN,O
,per,IN,O
,.,IN,O
,
Sentence: 19,dena,IN,O
,Ishaq,IN,O
,ne,IN,O
,teesra,IN,O
,maqam,IN,O
,haasil,IN,O
,kiya,IN,O
,.,IN,O
,Shatranj,IN,O
,tournament,IN,O
,ke,IN,O
,pehlu,IN,O
,ba,IN,O
,pehlu,IN,O
,mutadid,IN,O
,tafrehi,IN,O
,aur,IN,O
,saqafati,IN,O
,programme,IN,O
,bhi,IN,O
,munaqqid,IN,O
,kiye,IN,O
,gaye,IN,O
,.,IN,O
,
Sentence: 20,Is,IN,O
,ke,IN,O
,ilawa,IN,O
,fi,IN,O
,din,IN,O
,2,IN,O
,GB,IN,O
,data,IN,O
,+-+-,IN,O
,100,IN,O
,SMS,IN,O
,aur,IN,O
,ek,IN,O
,hazaar,IN,O
,IUC,IN,O
,minute,IN,O
,mlitay,IN,O
,hain,IN,O
,.,IN,O
,
Sentence: 21,agr,IN,O
,Molana,IN,O
,senate,IN,O
,mein,IN,O
,government,IN,O
,ka,IN,O
,sath,IN,O
,dein,IN,O
,to,IN,O
,youthiye,IN,O
,kal,IN,O
,se,IN,O
,unhen,IN,O
,daada,IN,O
,abbu,IN,O
,kehna,IN,O
,start,IN,O
,ho,IN,O
,jayen,IN,O
,gy,IN,O
,
Sentence: 22,is,IN,O
,qanoon,IN,O
,ke,IN,O
,tehat,IN,O
,aik,IN,O
,dosray,IN,O
,par,IN,O
,shak,IN,O
,ke,IN,O
,bawajood,IN,O
,bulaa,IN,O
,ijazat,IN,O
,dosray,IN,O
,fareeq,IN,O
,ka,IN,O
,phone,IN,O
,dekhnay,IN,O
,ki,IN,O
,shadeed,IN,O
,momanat,IN,O
,hai,IN,O
,.,IN,O
,
Sentence: 23,youn,IN,O
,Altaf,IN,B-per
,Zardari,IN,B-per
,bhai,IN,O
,bahi,IN,O
,ka,IN,O
,nara,IN,O
,samnay,IN,O
,aya,IN,O
,
Sentence: 24,Afghanistan,IN,B-loc
,mein,IN,O
,majmoi,IN,O
,tour,IN,O
,par,IN,O
,95,IN,O
,laakh,IN,O
,se,IN,O
,ziyada,IN,O
,raye,IN,O
,dahindgaan,IN,O
,apne,IN,O
,haq,IN,O
,raye,IN,O
,dahi,IN,O
,ka,IN,O
,istemaal,IN,O
,karenge,IN,O
,.,IN,O
,
Sentence: 25,Doctors,IN,O
,aur,IN,O
,research,IN,O
,karne,IN,O
,walon,IN,O
,ne,IN,O
,khudkushi,IN,O
,ka,IN,O
,bhi,IN,O
,imkaan,IN,O
,bataya,IN,O
,
Sentence: 26,awaami,IN,O
,numaindon,IN,O
,nay,IN,O
,2018,IN,O
,ke,IN,O
,intikhabaat,IN,O
,ke,IN,O
,douran,IN,O
,elaan,IN,O
,kiya,IN,O
,tha,IN,O
,ke,IN,O
,jald,IN,O
,hi,IN,O
,puranay,IN,O
,shehar,IN,O
,mein,IN,O
,metro,IN,O
,rail,IN,O
,project,IN,O
,shuru,IN,O
,kiya,IN,O
,jayega,IN,O
,.,IN,O
,
Sentence: 27,maqbooza,IN,O
,kashmir,IN,B-loc
,ki,IN,O
,haisiyat,IN,O
,yaktarfah,IN,O
,tabdeel,IN,O
,kernay,IN,O
,ki,IN,O
,policy,IN,O
,modi,IN,B-per
,sarkar,IN,O
,ke,IN,O
,galey,IN,O
,per,IN,O
,gayi,IN,O
,
Sentence: 28,Ek,IN,O
,Maroof,IN,O
,khangi,IN,O
,taleemi,IN,O
,idaray,IN,O
,mein,IN,O
,zair-e-taleem,IN,O
,muqtadi,IN,O
,mehdi,IN,O
,Nami,IN,O
,ek,IN,O
,taalib-e-ilm,IN,O
,ne,IN,O
,kaha,IN,O
,ke,IN,O
,jab,IN,O
,intizamia,IN,O
,ne,IN,O
,school,IN,O
,kholnay,IN,O
,ka,IN,O
,elaan,IN,O
,kiya,IN,O
,tha,IN,O
,to,IN,O
,mein,IN,O
,pareshan,IN,O
,hua,IN,O
,lekin,IN,O
,baad,IN,O
,mein,IN,O
,jab,IN,O
,aglay,IN,O
,roz,IN,O
,apne,IN,O
,school,IN,O
,ki,IN,O
,taraf,IN,O
,se,IN,O
,ishtihar,IN,O
,dekha,IN,O
,jis,IN,O
,mein,IN,O
,school,IN,O
,anay,IN,O
,ke,IN,O
,bajaye,IN,O
,nasabi,IN,O
,mawaad,IN,O
,haasil,IN,O
,karne,IN,O
,ko,IN,O
,kaha,IN,O
,gaya,IN,O
,tha,IN,O
,to,IN,O
,mein,IN,O
,khush,IN,O
,hua,IN,O
,kyunkay,IN,O
,kam,IN,O
,se,IN,O
,kam,IN,O
,school,IN,O
,nahi,IN,O
,jana,IN,O
,tha,IN,O
,.,IN,O
,
Sentence: 29,Jab,IN,O
,Hazrat,IN,O
,Ameer,IN,B-per
,Khusro,IN,I-per
,ka,IN,O
,700,IN,O
,sala,IN,O
,jashan,IN,O
,manaya,IN,O
,gaya,IN,O
,+-+-,IN,O
,to,IN,O
,unhe,IN,O
,Ameer,IN,B-per
,Khusro,IN,I-per
,committee,IN,O
,ka,IN,O
,karkun,IN,O
,banaya,IN,O
,gaya,IN,O
,
Sentence: 30,Khofnaak,IN,O
,zayad-ti,IN,O
,ke,IN,O
,nateejay,IN,O
,mein,IN,O
,mutasir,IN,O
,afraad,IN,O
,sadme,IN,O
,+-+-,IN,O
,Dar,IN,O
,daal,IN,O
,+-+-,IN,O
,Peep,IN,O
,aur,IN,O
,khoon,IN,O
,behnay,IN,O
,ki,IN,O
,wajah,IN,O
,se,IN,O
,kayi,IN,O
,hafton,IN,O
,bistar,IN,O
,par,IN,O
,they,IN,O
,.,IN,O
,
Sentence: 31,Is,IN,O
,douran,IN,O
,JNU,IN,B-org
,ke,IN,O
,talba,IN,O
,se,IN,O
,izhaar,IN,O
,yakjahti,IN,O
,ke,IN,O
,liye,IN,O
,shammen,IN,O
,roshan,IN,O
,ke,IN,O
,.,IN,O
,
Sentence: 32,747,IN,O
,three,IN,O
,Wheeler,IN,O
,+-+-,IN,O
,777,IN,O
,Cars,IN,O
,aur,IN,O
,110,IN,O
,deegar,IN,O
,gadiyaan,IN,O
,bhi,IN,O
,ab,IN,O
,tak,IN,O
,zabt,IN,O
,ki,IN,O
,gayeen,IN,O
,.,IN,O
,
Sentence: 33,bharat,IN,B-loc
,say,IN,O
,taloqat,IN,O
,thek,IN,O
,karnay,IN,O
,k,IN,O
,liye,IN,O
,tayyar,IN,O
,hain,IN,O
,sub,IN,O
,sy,IN,O
,bara,IN,O
,kashmir,IN,B-loc
,ka,IN,O
,hai,IN,O
,aap,IN,O
,aik,IN,O
,qadam,IN,O
,barhaengay,IN,O
,tu,IN,O
,hum,IN,O
,2,IN,O
,qadam,IN,O
,pti,IN,B-org
,imran,IN,B-per
,khan,IN,I-per
,
Sentence: 34,lahore,IN,B-loc
,k,IN,O
,logo,IN,O
,ko,IN,O
,tameeez,IN,O
,nahi,IN,O
,hai,IN,O
,jaangleee,IN,O
,hain,IN,O
,
Sentence: 35,damnfarooq,IN,O
,toh,IN,O
,karachi,IN,B-loc
,walon,IN,O
,ne,IN,O
,jo,IN,O
,ppp,IN,B-org
,or,IN,O
,mqm,IN,B-org
,ko,IN,O
,jeetwaya,IN,O
,hai,IN,O
,wo,IN,O
,bara,IN,O
,mahan,IN,O
,kaam,IN,O
,kiya,IN,O
,hai,IN,O
,at,IN,O
,least,IN,O
,shabash,IN,B-per
,sharif,IN,I-per
,ne,IN,O
,thora,IN,O
,kaam,IN,O
,toh,IN,O
,karwaya,IN,O
,hai,IN,O
,nah,IN,O
,ppp,IN,B-org
,or,IN,O
,mqm,IN,B-org
,ne,IN,O
,sirf,IN,O
,nuksan,IN,O
,punchaya,IN,O
,hai,IN,O
,kaam,IN,O
,koi,IN,O
,nhi,IN,O
,kiya,IN,O
,
Sentence: 36,jab,IN,O
,tak,IN,O
,molana,IN,O
,aziz,IN,B-per
,or,IN,O
,lashkare,IN,B-org
,jhangvi,IN,I-org
,k,IN,O
,leader,IN,O
,ko,IN,O
,khatam,IN,O
,nai,IN,O
,kya,IN,O
,jaga,IN,O
,khuda,IN,O
,ka,IN,O
,atab,IN,O
,ata,IN,O
,rahay,IN,O
,ga,IN,O
,
Sentence: 37,G,IN,O
,han,IN,O
,Noon,IN,B-org
,league,IN,I-org
,aor,IN,O
,ppp,IN,B-org
,ko,IN,O
,marit,IN,O
,pay,IN,O
,milay,IN,O
,tickets,IN,O
,
Sentence: 38,is,IN,O
,mauqa,IN,O
,par,IN,O
,commissionaire,IN,O
,police,IN,O
,ne,IN,O
,kaha,IN,O
,ke,IN,O
,kayi,IN,O
,aisay,IN,O
,waqeat,IN,O
,paish,IN,O
,aachukay,IN,O
,hain,IN,O
,jis,IN,O
,mein,IN,O
,foot,IN,O
,boarding,IN,O
,karne,IN,O
,walay,IN,O
,noujawan,IN,O
,bilkhushoos,IN,O
,college,IN,O
,janay,IN,O
,walay,IN,O
,talba,IN,O
,Ibrahimpatnam,IN,B-loc
,mein,IN,O
,zakhmi,IN,O
,hue,IN,O
,hain,IN,O
,.,IN,O
,
Sentence: 39,Virat,IN,B-per
,kohli,IN,I-per
,aur,IN,O
,Rohit,IN,B-per
,Sharma,IN,I-per
,mein,IN,O
,khichao,IN,O
,samnay,IN,O
,aagaya,IN,O
,
Sentence: 40,yeh,IN,O
,khatoon,IN,O
,pooray,IN,O
,din,IN,O
,shehar,IN,O
,ke,IN,O
,badey,IN,O
,Dawakhane,IN,O
,ke,IN,O
,bahar,IN,O
,bheek,IN,O
,maangti,IN,O
,rehti,IN,O
,hain,IN,O
,aur,IN,O
,Hajan-wafa,IN,B-per
,ke,IN,O
,naam,IN,O
,se,IN,O
,mashhoor,IN,O
,hain,IN,O
,.,IN,O
,
Sentence: 41,Is,IN,O
,ke,IN,O
,bad,IN,O
,Jolie,IN,B-org
,Beverly,IN,I-org
,Hills,IN,I-org
,High,IN,I-org
,School,IN,I-org
,se,IN,O
,taleem,IN,O
,mukamal,IN,O
,karne,IN,O
,ke,IN,O
,bad,IN,O
,dobara,IN,O
,adakari,IN,O
,ki,IN,O
,tarbiyat,IN,O
,ki,IN,O
,tataf,IN,O
,mutawaja,IN,O
,ho,IN,O
,gayein,IN,O
,
Sentence: 42,ik,IN,O
,adha,IN,O
,noony,IN,O
,pakar,IN,O
,do,IN,O
,tawa,IN,O
,lagana,IN,O
,hai,IN,O
,uska,IN,O
,
Sentence: 43,Garbh,IN,B-loc
,Urdan,IN,I-loc
,ke,IN,O
,ilaaqoun,IN,O
,ka,IN,O
,ilhaaq,IN,O
,ghair,IN,O
,qanooni,IN,O
,
Sentence: 44,Kar,IN,O
,dy,IN,O
,shukryaa,IN,O
,aadaa,IN,O
,unblok,IN,O
,kar,IN,O
,k,IN,O
,
Sentence: 45,Ball,IN,O
,poar,IN,O
,jadooi,IN,O
,giraft,IN,O
,se,IN,O
,inhe,IN,O
,rafter,IN,O
,aur,IN,O
,swing,IN,O
,ko,IN,O
,qaboo,IN,O
,karne,IN,O
,ka,IN,O
,hairat,IN,O
,angez,IN,O
,fun,IN,O
,aata,IN,O
,hai,IN,O
,
Sentence: 46,Waadi,IN,O
,ki,IN,O
,ek,IN,O
,badi,IN,O
,siyasi,IN,O
,jamaat,IN,O
,ke,IN,O
,publicity,IN,O
,shobay,IN,O
,mein,IN,O
,kaam,IN,O
,karne,IN,O
,walay,IN,O
,ek,IN,O
,mulazim,IN,O
,neh,IN,O
,kaha,IN,O
,ke,IN,O
,akhbaari,IN,O
,daftron,IN,O
,ya,IN,O
,news,IN,O
,agencio,IN,O
,ke,IN,O
,daftron,IN,O
,mein,IN,O
,press,IN,O
,note,IN,O
,dasti,IN,O
,le,IN,O
,jana,IN,O
,to,IN,O
,amar,IN,O
,mushkil,IN,O
,hi,IN,O
,hai,IN,O
,lekin,IN,O
,is,IN,O
,se,IN,O
,akhbar,IN,O
,walon,IN,O
,ki,IN,O
,mulaqaat,IN,O
,to,IN,O
,naseeb,IN,O
,hoti,IN,O
,hai,IN,O
,.,IN,O
,
Sentence: 47,shea,IN,O
,hazraat,IN,O
,corona,IN,O
,ki,IN,O
,wajah,IN,O
,se,IN,O
,jaloos,IN,O
,na,IN,O
,nikalen,IN,O
,
Sentence: 48,cmshehbaz,IN,O
,yaar,IN,O
,chote,IN,O
,abb,IN,O
,jaan,IN,O
,shooro,IN,O
,humari,IN,O
,nahin,IN,O
,too,IN,O
,pti,IN,B-org
,
Sentence: 49,Mecca,IN,B-loc
,Mukaramah,IN,I-loc
,ki,IN,O
,Curfew,IN,O
,mein,IN,O
,bhi,IN,O
,narmi,IN,O
,ka,IN,O
,elaan,IN,O
,+-+-,IN,O
,21,IN,O
,June,IN,O
,se,IN,O
,tamam,IN,O
,Masajid,IN,O
,mein,IN,O
,ba-jamaat,IN,O
,namaz,IN,O
,
Sentence: 50,Manzoor,IN,B-per
,Faisal,IN,I-per
,Khan,IN,I-per
,bhai,IN,O
,agr,IN,O
,dant,IN,O
,ma,IN,O
,ho,IN,O
,to,IN,O
,
Sentence: 51,IPL,IN,O
,ke,IN,O
,douran,IN,O
,sab,IN,O
,se,IN,O
,shandaar,IN,O
,catch,IN,O
,pakadney,IN,O
,walay,IN,O
,khiladi,IN,O
,ko,IN,O
,bhi,IN,O
,award,IN,O
,diya,IN,O
,jata,IN,O
,hai,IN,O
,.,IN,O
,
Sentence: 52,qayadat,IN,O
,aur,IN,O
,iske,IN,O
,sath,IN,O
,denay,IN,O
,wali,IN,O
,jamaten,IN,O
,samajh,IN,O
,daar,IN,O
,hain,IN,O
,+-+-,IN,O
,unhon,IN,O
,ne,IN,O
,jab,IN,O
,dekh,IN,O
,liya,IN,O
,ke,IN,O
,qoum,IN,O
,itni,IN,O
,ghaflat,IN,O
,ka,IN,O
,shikaar,IN,O
,hai,IN,O
,ke,IN,O
,ab,IN,O
,sadkon,IN,O
,par,IN,O
,nahi,IN,O
,aayegi,IN,O
,+-+-,IN,O
,to,IN,O
,unhon,IN,O
,ne,IN,O
,ye,IN,O
,kiya,IN,O
,ke,IN,O
,qoum,IN,O
,ki,IN,O
,is,IN,O
,ghaflat,IN,O
,ka,IN,O
,souda,IN,O
,karliya,IN,O
,
Sentence: 53,Amaravati>:,IN,B-loc
,AP,IN,I-loc
,ke,IN,I-loc
,vishakhapatnam,IN,B-loc
,mein,IN,O
,guzishta,IN,O
,roz,IN,O
,pesh,IN,O
,aaye,IN,O
,kareen,IN,O
,haadsa,IN,O
,mein,IN,O
,halaak,IN,O
,damaad,IN,O
,ki,IN,O
,laash,IN,O
,ko,IN,O
,dekhnay,IN,O
,ke,IN,O
,liye,IN,O
,jaanay,IN,O
,wala,IN,O
,khandan,IN,O
,haadsa,IN,O
,ka,IN,O
,shikaar,IN,O
,hogaya,IN,O
,jis,IN,O
,mein,IN,O
,is,IN,O
,khandan,IN,O
,ke,IN,O
,2,IN,O
,afraad,IN,O
,aur,IN,O
,car,IN,O
,driver,IN,O
,halaak,IN,O
,hogaya,IN,O
,.,IN,O
,
Sentence: 54,lala,IN,B-per
,abhi,IN,O
,say,IN,O
,kyun,IN,O
,senti,IN,O
,aur,IN,O
,emotional,IN,O
,kr,IN,O
,rahay,IN,O
,hain,IN,O
,easi,IN,O
,tweets,IN,O
,kr,IN,O
,ke,IN,O
,.,IN,O
,
Sentence: 55,agr,IN,O
,wo,IN,O
,ye,IN,O
,heading,IN,O
,laga,IN,O
,deti,IN,O
,to,IN,O
,kya,IN,O
,aap,IN,O
,article,IN,O
,open,IN,O
,kar,IN,O
,k,IN,O
,read,IN,O
,karty,IN,O
,?,IN,O
,ni,IN,O
,na,IN,O
,.,IN,O
,.,IN,O
,.,IN,O
,aap,IN,O
,to,IN,O
,bahir,IN,O
,se,IN,O
,hi,IN,O
,heading,IN,O
,read,IN,O
,kar,IN,O
,k,IN,O
,rawaana,IN,O
,hojaty,IN,O
,aur,IN,O
,baqi,IN,O
,log,IN,O
,b,IN,O
,yehi,IN,O
,kart,IN,O
,.,IN,O
,.,IN,O
,.,IN,O
,traffic,IN,O
,intact,IN,O
,rakhny,IN,O
,k,IN,O
,leye,IN,O
,ye,IN,O
,jaan,IN,O
,bhoj,IN,O
,kar,IN,O
,kiya,IN,O
,jaata,IN,O
,ha,IN,O
,
Sentence: 56,sir,IN,O
,g,IN,O
,district,IN,O
,kohistan,IN,B-loc
,mey,IN,O
,village,IN,O
,sectries,IN,O
,ki,IN,O
,jo,IN,O
,bharteya,IN,O
,hoe,IN,O
,han,IN,O
,srasar,IN,O
,ghlat,IN,O
,base,IN,O
,py,IN,O
,hoe,IN,O
,han,IN,O
,please,IN,O
,eska,IN,O
,notice,IN,O
,leya,IN,O
,jaye,IN,O
,
Sentence: 57,Aur,IN,O
,achay,IN,O
,dost,IN,O
,they,IN,O
,.,IN,O
,
Sentence: 58,Baaishin,IN,O
,house,IN,O
,3,IN,O
,manzila,IN,O
,imarat,IN,O
,hai,IN,O
,.,IN,O
,
Sentence: 59,tumhari,IN,O
,kyun,IN,O
,jal,IN,O
,rahi,IN,O
,hai,IN,O
,
Sentence: 60,Saudi,IN,B-loc
,mein,IN,O
,azadi,IN,O
,ka,IN,O
,jashnn,IN,O
,+-+-,IN,O
,Khawateen,IN,O
,ki,IN,O
,awaami,IN,O
,maqamat,IN,O
,par,IN,O
,Cigarette,IN,O
,nowshi,IN,O
,
Sentence: 61,5G,IN,O
,Technology,IN,O
,cancer,IN,O
,ki,IN,O
,wajah?,IN,O
,
Sentence: 62,isbd,IN,B-loc
,punjab,IN,B-loc
,me,IN,O
,hukomat,IN,O
,sazi,IN,O
,k,IN,O
,hawalay,IN,O
,se,IN,O
,jald,IN,O
,khushkhabri,IN,O
,den,IN,O
,gay,IN,O
,naeem,IN,B-per
,ul,IN,I-per
,haq,IN,I-per
,pti,IN,B-org
,pml,IN,B-org
,n,IN,I-org
,ka,IN,O
,punjab,IN,B-loc
,me,IN,O
,23,IN,O
,azad,IN,O
,arkan,IN,O
,ki,IN,O
,himayat,IN,O
,ka,IN,O
,dawa,IN,O
,
Sentence: 63,Mohqiqeen,IN,O
,ne,IN,O
,100,IN,O
,se,IN,O
,ziyada,IN,O
,nozaida,IN,O
,bachoun,IN,O
,se,IN,O
,lag,IN,O
,bhag,IN,O
,2,IN,O
,lakh,IN,O
,ronay,IN,O
,ki,IN,O
,aawazian,IN,O
,akathi,IN,O
,kee,IN,O
,aur,IN,O
,inhen,IN,O
,online,IN,O
,data,IN,O
,base,IN,O
,mein,IN,O
,rakha,IN,O
,.,IN,O
,
Sentence: 64,originally,IN,O
,posted,IN,O
,by,IN,O
,farhankhan1111,IN,O
,kpk,IN,B-org
,govt,IN,I-org
,ka,IN,O
,paisa,IN,O
,aisa,IN,O
,he,IN,O
,lota,IN,O
,ja,IN,O
,rah,IN,O
,hai,IN,O
,baychari,IN,O
,awam,IN,O
,gareeb,IN,O
,taer,IN,O
,hogye,IN,O
,yeh,IN,O
,aur,IN,O
,tareen,IN,B-per
,ameer,IN,O
,ter,IN,O
,hogye,IN,O
,i,IN,O
,big,IN,O
,slap,IN,O
,imran,IN,B-per
,ka,IN,O
,mun,IN,O
,per,IN,O
,aur,IN,O
,tumhara,IN,O
,napaak,IN,O
,aur,IN,O
,paleet,IN,O
,leader,IN,O
,altaf,IN,B-per
,kaaaaaalia,IN,I-per
,uk,IN,B-loc
,mein,IN,O
,beth,IN,O
,ker,IN,O
,karachi,IN,B-loc
,ko,IN,O
,loot,IN,O
,ta,IN,O
,raha,IN,O
,hey,IN,O
,
Sentence: 65,party,IN,O
,2014,IN,O
,mein,IN,O
,Iqtidaar,IN,O
,mein,IN,O
,aayi,IN,O
,.,IN,O
,
Sentence: 66,chmpions,IN,O
,sikhst,IN,O
,se,IN,O
,sikhta,IN,O
,hy,IN,O
,mgr,IN,O
,himt,IN,O
,nh,IN,O
,harta,IN,O
,hy,IN,O
,hoti,IN,O
,hy,IN,O
,hmsha,IN,O
,himt,IN,O
,ki,IN,O
,jeet,IN,O
,
Sentence: 67,unhon,IN,O
,ne,IN,O
,mazeed,IN,O
,kaha,IN,O
,ke,IN,O
,wo,IN,O
,iske,IN,O
,baarey,IN,O
,mein,IN,O
,zilai,IN,O
,SP,IN,O
,ko,IN,O
,maktoob,IN,O
,likhinge,IN,O
,aur,IN,O
,mutalba,IN,O
,karenge,IN,O
,jis,IN,O
,waqt,IN,O
,awam,IN,O
,ohdedaroun,IN,O
,se,IN,O
,milnay,IN,O
,atay,IN,O
,hai,IN,O
,kam,IN,O
,az,IN,O
,kam,IN,O
,un,IN,O
,auqaat,IN,O
,may,IN,O
,police,IN,O
,ke,IN,O
,zareye,IN,O
,inhen,IN,O
,tahaffuz,IN,O
